iShares Core S&P/TSX Capped Composite Index ETF
Inception Date,"Feb 16, 2001"
Fund Holdings as of,"30-Jun-2016"
Total Net Assets ($000s),"$2,425,040,039"
Shares Outstanding,"108,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"D.UN","DREAM OFFICE REAL ESTATE UNITS TRU","0.11","18.58","144,701","$2,688,545","2,688,544.58","Financials","BMJJVS6","26153P104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SSO","SILVER STANDARD RESOURCES INC.","0.11","16.77","159,419","$2,673,457","2,673,456.63","Materials","2218458","82823L106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TFI","TRANSFORCE INC.","0.11","23.99","109,975","$2,638,300","2,638,300.25","Industrials","B2RM477","89366H103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"HCG","HOME CAPITAL GROUP INC.","0.11","32.02","81,652","$2,614,497","2,614,497.04","Financials","2434180","436913107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TA","TRANSALTA CORPORATION","0.11","6.72","387,338","$2,602,911","2,602,911.36","Utilities","2901628","89346D107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PVG","PRETIUM RESOURCES INC","0.11","14.46","179,321","$2,592,982","2,592,981.66","Materials","B57Q8S9","74139C102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AX.UN","ARTIS REAL ESTATE INVESTMENT TRUST","0.10","13.50","188,005","$2,538,068","2,538,067.50","Financials","B0XZXV3","04315L105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DSG","DESCARTES SYSTEMS GROUP INC","0.10","24.71","101,926","$2,518,591","2,518,591.46","Information Technology","2141941","249906108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NG","NOVAGOLD RESOURCES INC.","0.10","7.91","314,142","$2,484,863","2,484,863.22","Materials","2135450","66987E206","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GRT.UN","GRANITE REAL ESTATE INVESTMENT STA","0.10","38.75","63,333","$2,454,154","2,454,153.75","Financials","B9GS088","387437114","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FSV","FIRSTSERVICE SUBORDINATE VOTING CO","0.10","59.09","41,515","$2,453,121","2,453,121.35","Financials","BYL7ZF7","33767E103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TXG","TOREX GOLD RESOURCES LTD.","0.10","2.31","1,058,762","$2,445,740","2,445,740.22","Materials","B1B25H3","891054108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"OR","OSISKO GOLD ROYALTIES LTD","0.10","16.89","143,044","$2,416,013","2,416,013.16","Materials","BN60CQ4","68827L101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PXT","PAREX RESOURCES INC.","0.10","12.51","192,155","$2,403,859","2,403,859.05","Energy","B575D14","69946Q104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ECI","ENERCARE INC.","0.10","17.10","139,757","$2,389,845","2,389,844.70","Consumer Discretionary","B3M62G6","29269C207","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"HBC","HUDSONS BAY","0.10","15.59","149,491","$2,330,565","2,330,564.69","Consumer Discretionary","B8436W4","444218101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CPX","CAPITAL POWER CORP","0.09","19.28","117,696","$2,269,179","2,269,178.88","Utilities","B61KF83","14042M102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PJC.A","JEAN COUTU INC","0.09","20.00","109,502","$2,190,040","2,190,040.00","Consumer Staples","2471541","47215Q104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NFI","NEW FLYER INDUSTRIES INC.","0.09","40.23","53,828","$2,165,500","2,165,500.44","Industrials","B6QHJ10","64438T401","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BTE","BAYTEX ENERGY CORP","0.09","7.50","283,495","$2,126,213","2,126,212.50","Energy","B4VGVM3","07317Q105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CJR.B","CORUS ENTERTAINMENT INC CLASS B","0.09","13.32","157,779","$2,101,616","2,101,616.28","Consumer Discretionary","2484516","220874101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CCA","COGECO COMMUNICATIONS SUBORDINATE","0.09","67.80","30,799","$2,088,172","2,088,172.20","Consumer Discretionary","BZCDFX9","19239C106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SPB","SUPERIOR PLUS CORP.","0.08","10.66","190,623","$2,032,041","2,032,041.18","Utilities","B3KTPS0","86828P103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CLS","CELESTICA INC.","0.08","12.02","167,608","$2,014,648","2,014,648.16","Information Technology","2263362","15101Q108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CIG","COLLIERS INTERNATIONAL GROUP SUBOR","0.08","44.12","45,120","$1,990,694","1,990,694.40","Financials","BYL7SB4","194693107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"LB","LAURENTIAN BANK OF CANADA","0.08","48.24","40,787","$1,967,565","1,967,564.88","Financials","2077347","51925D106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MTL","MULLEN GROUP LTD.","0.08","14.10","139,500","$1,966,950","1,966,950.00","Energy","B4MMW16","625284104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"HBM","HUDBAY MINERALS INC","0.08","6.17","316,476","$1,952,657","1,952,656.92","Materials","B05BDX1","443628102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WPK","WINPAK LTD","0.08","47.47","40,797","$1,936,634","1,936,633.59","Materials","2972851","97535P104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NWC","NORTH WEST COMPANY INC","0.08","29.46","65,254","$1,922,383","1,922,382.84","Consumer Staples","B63BQX6","663278109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GUY","GUYANA GOLDFIELDS INC","0.08","9.26","205,947","$1,907,069","1,907,069.22","Materials","B07J7D1","403530108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"RUS","RUSSEL METALS INC","0.08","22.88","83,013","$1,899,337","1,899,337.44","Industrials","2248808","781903604","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PLI","PROMETIC LIFE SCIENCES INC","0.08","2.79","665,823","$1,857,646","1,857,646.17","Health Care","2279938","74342Q104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"INE","INNERGEX RENEWABLE ENERGY INC.","0.08","14.49","127,844","$1,852,460","1,852,459.56","Utilities","B29TNV3","45790B104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PBH","PREMIUM BRANDS HOLDINGS CORP.","0.07","54.40","33,499","$1,822,346","1,822,345.60","Consumer Staples","B1VJFK7","74061A108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BYD.UN","BOYD GROUP INCOME FUND","0.07","74.26","24,274","$1,802,587","1,802,587.24","Industrials","2438900","103309100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AAV","ADVANTAGE OIL AND GAS LTD","0.07","7.22","248,149","$1,791,636","1,791,635.78","Energy","B66PKS8","00765F101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MST.UN","MILESTONE APARTMENTS REAL ESTATE I","0.07","18.89","94,278","$1,780,911","1,780,911.42","Financials","B8MHCX1","59934P101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"UNS","UNI-SELECT INC.","0.07","32.76","52,832","$1,730,776","1,730,776.32","Consumer Discretionary","2932480","90457D100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EDV","ENDEAVOUR MINING CORP","0.07","21.93","78,561","$1,722,843","1,722,842.73","Materials","BDGN4L2","-","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PSI","PASON SYSTEMS INC.","0.07","17.86","96,306","$1,720,025","1,720,025.16","Energy","2569565","702925108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MIC","GENWORTH MI CANADA INC.","0.07","33.14","51,878","$1,719,237","1,719,236.92","Financials","B3NWJQ2","37252B102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"X","TMX GROUP LTD","0.07","53.75","31,472","$1,691,620","1,691,620.00","Financials","B8KH5G7","87262K105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CG","CENTERRA GOLD INC.","0.07","7.70","218,160","$1,679,832","1,679,832.00","Materials","B01NXQ4","152006102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CHE.U","CHEMTRADE LOGISTICS INCOME FUND","0.07","17.84","92,926","$1,657,800","1,657,799.84","Materials","2782191","16387P103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SES","SECURE ENERGY SERVICES INC.","0.07","8.83","187,222","$1,653,170","1,653,170.26","Energy","B55SGV6","81373C102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AIM","AIMIA INC","0.07","7.90","204,895","$1,618,671","1,618,670.50","Consumer Discretionary","B84YZ75","00900Q103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CRR.UN","CROMBIE REAL ESTATE INVESTMENT TRU","0.07","15.35","105,141","$1,613,914","1,613,914.35","Financials","B11YBV5","227107109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"RNW","TRANSALTA RENEWABLES INC","0.07","13.36","120,610","$1,611,350","1,611,349.60","Utilities","BCZLSL8","893463109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GTE","GRAN TIERRA ENERGY INC","0.06","4.34","348,680","$1,513,271","1,513,271.20","Energy","B2PPCS5","38500T101","Toronto Stock Exchange","United States","CAD","CAD","1.00"
"TCL.A","TRANSCONTINENTAL SUB VOTING INC CL","0.06","17.51","85,480","$1,496,755","1,496,754.80","Industrials","2357953","893578104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MAG","MAG SILVER CORP","0.06","16.29","91,682","$1,493,500","1,493,499.78","Materials","2581332","55903Q104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WTE","WESTSHORE TERMINALS INVESTMENT COR","0.06","18.71","79,503","$1,487,501","1,487,501.13","Industrials","B8KB138","96145A200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ITP","INTERTAPE POLYMER GROUP INC.","0.06","21.08","70,115","$1,478,024","1,478,024.20","Materials","2459901","460919103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FRU","FREEHOLD ROYALTIES LTD","0.06","11.91","121,769","$1,450,269","1,450,268.79","Energy","B3SJKB0","356500108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MEG","MEG ENERGY CORP.","0.06","6.77","208,863","$1,414,003","1,414,002.51","Energy","B4XF9J1","552704108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"LUC","LUCARA DIAMOND CORP","0.06","3.48","405,909","$1,412,563","1,412,563.32","Materials","2862565","54928Q108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CXR","CONCORDIA INTERNATIONAL CORP","0.06","27.83","50,655","$1,409,729","1,409,728.65","Health Care","BHCVT91","206519100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"KXS","KINAXIS INC","0.06","51.88","27,014","$1,401,486","1,401,486.32","Information Technology","BN85P68","49448Q109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AD","ALARIS ROYALTY CORP","0.06","28.67","48,845","$1,400,386","1,400,386.15","Financials","B95JCB9","01163Q400","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NVU.UN","NORTHVIEW APARTMENT REAL ESTATE IN","0.06","22.43","62,325","$1,397,950","1,397,949.75","Financials","BYZGBB8","667185102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"OSB","NORBORD INC","0.06","25.26","54,111","$1,366,844","1,366,843.86","Materials","2641441","65548P403","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ESL","ENGHOUSE SYSTEMS LTD.","0.06","54.79","24,893","$1,363,887","1,363,887.47","Information Technology","2282237","292949104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DRG.UN","DREAM GLOBAL REAL ESTATE INVESTMEN","0.06","9.38","145,178","$1,361,770","1,361,769.64","Financials","BMJ71D5","26154A106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ARE","AECON GROUP INC.","0.06","17.58","77,125","$1,355,858","1,355,857.50","Industrials","2699547","00762V109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"KGI","KIRKLAND LAKE GOLD INC","0.05","10.64","123,391","$1,312,880","1,312,880.24","Materials","2503938","49740P106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DDC","DOMINION DIAMOND CORP.","0.05","11.43","114,806","$1,312,233","1,312,232.58","Materials","B95LX89","257287102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CFP","CANFOR CORP.","0.05","13.05","100,060","$1,305,783","1,305,783.00","Materials","B18P4F6","137576104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AAR.UN","PURE INDUSTRIAL REAL ESTATE TRUST","0.05","5.15","251,025","$1,292,779","1,292,778.75","Financials","B2455Y3","74623T108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NVA","NUVISTA ENERGY LTD.","0.05","6.25","206,340","$1,289,625","1,289,625.00","Energy","2901167","67072Q104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TOG","TORC OIL AND GAS LTD","0.05","8.20","155,592","$1,275,854","1,275,854.40","Energy","BDV82P2","890895303","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TCN","TRICON CAPITAL GROUP INC.","0.05","8.70","141,934","$1,234,826","1,234,825.80","Financials","B4NP281","89612W102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DII.B","DOREL INDUSTRIES INC. CL B","0.05","34.38","35,208","$1,210,451","1,210,451.04","Consumer Discretionary","2262369","25822C205","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ASR","ALACER GOLD CORP","0.05","3.08","392,785","$1,209,778","1,209,777.80","Materials","B40B271","010679108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ESI","ENSIGN ENERGY SERVICES INC","0.05","7.25","166,803","$1,209,322","1,209,321.75","Energy","2317623","293570107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CEU","CANADIAN ENERGY SERVICES & TECHNOL","0.05","4.07","296,552","$1,206,967","1,206,966.64","Energy","B5KW4L9","13566W108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EFX","ENERFLEX LTD","0.05","10.68","106,554","$1,137,997","1,137,996.72","Energy","B4Y2RV9","29269R105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GC","GREAT CANADIAN GAMING CORP.","0.05","17.97","63,255","$1,136,692","1,136,692.35","Consumer Discretionary","2380573","389914102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BAD","BADGER DAYLIGHTING LTD","0.05","22.50","49,919","$1,123,178","1,123,177.50","Industrials","B3M4R76","05651W209","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DHX.B","DHX MEDIA COMMON VOTING LTD","0.05","6.60","169,147","$1,116,370","1,116,370.20","Consumer Discretionary","BRF12P5","252406707","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CR","CREW ENERGY INC.","0.05","5.81","191,667","$1,113,585","1,113,585.27","Energy","2554721","226533107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WEF","WESTERN FOREST PRODUCTS INC","0.04","2.04","532,021","$1,085,323","1,085,322.84","Materials","B02F2N9","958211203","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"LIF","LABRADOR IRON ORE ROYALTY CORP.","0.04","12.41","86,108","$1,068,600","1,068,600.28","Materials","B8L02P3","505440107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CMG","COMPUTER MODEL LTD","0.04","10.34","100,759","$1,041,848","1,041,848.06","Information Technology","2223355","205249105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"JE","JUST ENERGY GROUP INC","0.04","7.84","130,906","$1,026,303","1,026,303.04","Utilities","B63MCN1","48213W101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MNW","MITEL NETWORKS CORP","0.04","8.11","125,505","$1,017,846","1,017,845.55","Information Technology","B8184B7","60671Q104","Toronto Stock Exchange","United States","CAD","CAD","1.00"
"NSU","NEVSUN RESOURCES LTD","0.04","3.79","267,880","$1,015,265","1,015,265.20","Materials","2631486","64156L101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ATA","ATS AUTOMATION TOOLING SYSTEMS INC","0.04","9.72","100,579","$977,628","977,627.88","Industrials","2002587","001940105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BIR","BIRCHCLIFF ENERGY LTD.","0.04","6.88","141,387","$972,743","972,742.56","Energy","B0B55N1","090697103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EXE","EXTENDICARE INC","0.04","8.14","118,613","$965,510","965,509.82","Health Care","B86RZZ0","30224T863","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SW","SIERRA WIRELESS INC.","0.04","21.89","42,922","$939,563","939,562.58","Information Technology","2418968","826516106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IT","INTERTAIN GROUP LTD","0.04","10.45","89,226","$932,412","932,411.70","Consumer Discretionary","BJWQ105","46111Q101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"KEL","KELT EXPLORATION LTD","0.04","4.73","196,792","$930,826","930,826.16","Energy","B9KF5Q8","488295106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MRE","MARTINREA INTERNATIONAL INC","0.04","8.00","116,215","$929,720","929,720.00","Consumer Discretionary","2107620","573459104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IFP","INTERFOR CORP","0.04","11.07","83,854","$928,264","928,263.78","Materials","BMJ71W4","45868C109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BNE","BONTERRA ENERGY CORP","0.04","26.61","34,782","$925,549","925,549.02","Energy","B3K3G89","098546104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DOO","BRP SUBORDINATE VOTING INC","0.04","20.67","44,648","$922,874","922,874.16","Consumer Discretionary","B9B3FG1","05577W200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BNP","BONAVISTA ENERGY CORP","0.04","3.30","268,190","$885,027","885,027.00","Energy","B67JFX9","09784Y108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SGY","SURGE ENERGY INC.","0.03","2.55","297,384","$758,329","758,329.20","Energy","2290597","86880Y109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AVO","AVIGILON CORP","0.03","13.27","47,260","$627,140","627,140.20","Information Technology","B6VTL04","05369Q106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"USD","USD CASH","0.03","129.87","468,170","$608,012","608,012.34","Cash and/or Derivatives","-","-","-","United States","CAD","USD","0.77"
"BBU.UN","BROOKFIELD BUSINESS PARTNERS LIMIT","0.02","24.51","23,292","$570,887","570,886.92","Industrials","BYNDNQ0","-","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CXR","CONCORDIA INTERNATIONAL CORP","0.00","27.83","141","$3,924","3,924.03","Health Care","BDD7WR9","20653P102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
 
