iShares Core S&P/TSX Capped Composite Index ETF
Inception Date,"Feb 16, 2001"
Fund Holdings as of,"30-Jun-2016"
Total Net Assets ($000s),"$2,425,040,039"
Shares Outstanding,"108,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"CVE","CENOVUS ENERGY INC","0.82","17.87","1,119,522","$20,005,858","20,005,858.14","Energy","B57FG04","15135U109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SLW","SILVER WHEATON CORP","0.74","30.41","591,192","$17,978,149","17,978,148.72","Materials","B058ZX6","828336107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","0.69","53.78","313,727","$16,872,238","16,872,238.06","Consumer Discretionary","BTF8CF0","-","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FTS","FORTIS INC. (CANADA)","0.68","43.67","380,373","$16,610,889","16,610,888.91","Utilities","2347200","349553107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IFC","INTACT FINANCIAL CORP.","0.67","92.29","176,434","$16,283,094","16,283,093.86","Financials","B04YJV1","45823T106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MRU","METRO INC","0.59","45.01","317,936","$14,310,299","14,310,299.36","Consumer Staples","2583952","59162N109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IMO","IMPERIAL OIL LTD.","0.57","40.88","341,596","$13,964,444","13,964,444.48","Energy","2454241","453038408","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CPG","CRESCENT POINT ENERGY CORP","0.57","20.41","680,243","$13,883,760","13,883,759.63","Energy","B67C8W8","22576C101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DOL","DOLLARAMA INC","0.55","90.20","149,559","$13,490,222","13,490,221.80","Consumer Discretionary","B4TP9G2","25675T107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"POW","POWER CORPORATION OF CANADA","0.55","27.50","489,884","$13,471,810","13,471,810.00","Financials","2697701","739239101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SJR.B","SHAW COMMUNICATIONS INC CLASS B","0.55","24.80","538,042","$13,343,442","13,343,441.60","Consumer Discretionary","2801836","82028K200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GWO","GREAT-WEST LIFECO INC.","0.54","34.08","386,888","$13,185,143","13,185,143.04","Financials","2384951","39138C106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CTC.A","CANADIAN TIRE LTD CLASS A","0.54","140.75","93,433","$13,150,695","13,150,694.75","Consumer Discretionary","2172286","136681202","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"REI.UN","RIOCAN REAL ESTATE INVESTMENT UNIT","0.52","29.33","434,983","$12,758,051","12,758,051.39","Financials","2229610","766910103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CSU","CONSTELLATION SOFTWARE INC.","0.52","500.01","25,051","$12,525,751","12,525,750.51","Information Technology","B15C4L6","21037X100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"OTC","OPEN TEXT CORPORATION","0.51","76.39","162,932","$12,446,375","12,446,375.48","Information Technology","2260824","683715106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IPL","INTER PIPELINE LTD","0.51","27.40","452,369","$12,394,911","12,394,910.60","Energy","BDD54N3","45833V109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
